titre,date,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,box_office_total,note_presse,note_spectateurs,nombre_article,recompenses,description
Love Life,14/06/2023,124,Kôji Fukada, Art House ,"Fumino Kimura,Tomorowo Taguchi,Tetta Shimada",,Japon,"Japonais, Coréen, Langue des signes",Long-métrage,2022,-,87 185 entrées,"3,7","3,8",25 articles de presse,4 nominations,"Taeko vit avec son époux Jiro et son fils Keita en face de chez ses beaux-parents. Tandis qu'elle découvre l’existence d'une ancienne fiancée de son mari, le père biologique de Keita refait surface. C'est le début d'un cruel jeu de chaises musicales, dont personne ne sortira indemne."
Les Trois Mousquetaires: D'Artagnan,05/04/2023,121,Martin Bourboulon, Pathé ,"François Civil,Vincent Cassel,Romain Duris",,France,Français,Long-métrage,2023,60 M€,3 337 102 entrées,"3,7","4,0",37 articles de presse,,"Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France."
Bird Box Barcelona,14/07/2023,110,David Pastor,-,"Mario Casas,Georgina Campbell,Diego Calva",,U.S.A.,Espagnol,Long-métrage,2023,-,,"2,3",,50 Critiques Spectateurs,,"Les producteurs du phénomène mondial ""Bird Box"" présentent ""Bird Box Barcelona"", qui vient enrichir l'univers ayant captivé le public en 2018. Après qu'une force mystérieuse a décimé la population mondiale, Sebastian doit tenter de survivre dans les rues désertes de Barcelone. Tandis qu'il forme une alliance de fortune avec d'autres survivants pour fuir la ville, une menace plus sombre encore se profile."
Les Damnés ne pleurent pas,26/07/2023,111,Fyzal Boulifa, New Story ,"Aïcha Tebbae,Abdellah El Hajjouji,Antoine Reinartz",,France,"Français, Arabe",Long-métrage,2022,-,779 entrées,"3,1","3,5",8 articles de presse,,"Fatima-Zahra traîne son fils de 17 ans, Selim, de ville en ville, fuyant les scandales qui éclatent sur sa route. Quand Selim découvre la vérité sur leur passé, Fatima-Zahra lui promet un nouveau départ. Ils arrivent alors à Tanger, où de nouvelles rencontres leur donnent l’espoir d’atteindre la légitimité qu’ils recherchent tant. Mais ces aspirations menacent la relation fusionnelle qui les lie depuis toujours."
Nymph()maniac - Director's cut,06/01/2015,327,Lars von Trier, Les Films du Losange ,"Charlotte Gainsbourg,Stellan Skarsgård,Stacy Martin",,Danemark,Anglais,Long-métrage,2013,-,,"4,0",,7 Critiques Spectateurs,,Version longue et director's cut de Nymphomaniac volume I et II.
Paula,19/07/2023,98,Angela Ottobah, Arizona Distribution ,"Finnegan Oldfield,Aline Helan-Boudon, Océan",,France,Français,Long-métrage,2021,-,1 273 entrées,"3,1","2,7",13 articles de presse,,"Paula a 11 ans. L’école l'ennuie et elle n'a qu'un seul ami, Achille. Son père lui fait une surprise : ils vont passer l’été dans la maison de ses rêves au bord d’un lac. Mais le temps file, l'automne approche et ils ne rentrent toujours pas."
Blanquita,26/07/2023,94,Fernando Guzzoni, ASC Distribution ,"Laura Lopez Campbell,Alejandro Goic,Amparo Noguera",,Chili,Espagnol,Long-métrage,2022,-,209 entrées,"3,0","3,2",5 articles de presse,2 nominations,"Blanca (18 ans) vit à Santiago dans un foyer pour mineurs dirigé par le prêtre Manuel Cura (50 ans). Témoin clé d’une affaire de scandale sexuel impliquant des politiciens chiliens, Blanca se retrouve poussée par Manuel au centre de l’attention médiatique. Elle devient une héroïne féministe pour certains, mais plus l’enquête avance, moins le rôle de Blanca semble clair…"
Un hiver en été,26/07/2023,110,Laetitia Masson, Jour2fête ,"Benjamin Biolay,Élodie Bouchez,Judith Chemla",,France,Français,Long-métrage,2022,-,649 entrées,"1,8","1,7",12 articles de presse,,"Dix personnages surpris par un froid glacial en plein été. Des rencontres, de la solitude, de l’espoir, de la peur, de l’amour, une chanson, la lutte des classes, et des rêves. Dix fragments d’humanité qui forment un tableau impressionniste de la France, aujourd’hui. Un hommage aux Nymphéas."
Le Challenge,21/06/2023,103,Gene Stupnitsky, Sony Pictures Releasing France ,"Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti",No Hard Feelings,U.S.A.,Anglais,Long-métrage,2023,-,117 752 entrées,"3,0","3,1",5 articles de presse,,"Maddie est sur le point de perdre sa maison d’enfance et elle pense avoir trouvé la solution à ses problèmes financiers lorsqu’elle tombe sur une offre d’emploi intrigante : parents fortunés cherchent quelqu’un pour emmener Percy, leur fils introverti de 19 ans, dans une série de « dates » afin de le décoincer avant qu’il ne parte pour l’université. A la grande surprise de Maddie, Percy rend ce challenge plus compliqué que prévu et le temps est compté. Elle a un été pour relever ce challenge ou se retrouver sans toit."
Fast & Furious X,17/05/2023,141,Louis Leterrier, Universal Pictures International France ,"Vin Diesel,Michelle Rodriguez,Jason Momoa",Fast X,U.S.A.,Anglais,Long-métrage,2023,-,2 298 366 entrées,"2,9","3,1",15 articles de presse,,"Après bien des missions et contre toute attente, Dom Toretto et sa famille ont su déjouer, devancer, surpasser et distancer tous les adversaires qui ont croisé leur route. Ils sont aujourd’hui face à leur ennemi le plus terrifiant et le plus intime : émergeant des brumes du passé, ce revenant assoiffé de vengeance est bien déterminé à décimer la famille en réduisant à néant tout ce à quoi, et surtout à qui Dom ait jamais tenu."
John Wick : Chapitre 4,22/03/2023,170,Chad Stahelski, Metropolitan FilmExport ,"Keanu Reeves,Donnie Yen,Bill Skarsgård",John Wick: Chapter 4,U.S.A.,Anglais,Long-métrage,2023,-,1 054 468 entrées,"3,6","3,9",31 articles de presse,,"John Wick découvre un moyen de vaincre l’organisation criminelle connue sous le nom de la Grande Table. Mais avant de gagner sa liberté, Il doit affronter un nouvel ennemi qui a tissé de puissantes alliances à travers le monde et qui transforme les vieux amis de John en ennemis."
De nos jours...,19/07/2023,84,Hong Sang-Soo, Capricci Films ,"Ki Joo-bong,Kim Min-Hee,Song Seon-mi",Woo-Ri-UI-Ha-Ru,Corée du Sud,Coréen,Long-métrage,2023,-,4 021 entrées,"3,8","2,7",13 articles de presse,,"Deux conversations en alternance à Séoul : une ancienne actrice est sollicitée par une débutante tandis qu’un vieux poète reçoit un admirateur. Les deux vedettes esquivent les questions existentielles de leur interlocuteur, la première songe à sa récente reconversion et le second bataille avec son sevrage d’alcool et de tabac."
Sexygénaires,14/06/2023,80,Robin Sykes, Apollo Films / Orange Studio ,"Thierry Lhermitte,Patrick Timsit,Marie Bunel",,France,Français,Long-métrage,2023,-,128 228 entrées,"2,8","2,6",8 articles de presse,3 nominations,"À soixante ans passés, deux amis en proie à des difficultés financières vont tirer profit de leur image dans le milieu de la mode et de la publicité. L’un est encore beau, l’autre ne l’a jamais été. Mais au-delà du jeu des apparences, qu’est-ce vraiment que d’avoir l’âge de la retraite aujourd’hui ?"
Les Herbes sèches,12/07/2023,197,Nuri Bilge Ceylan, Memento Distribution ,"Deniz Celiloğlu,Merve Dizdar,Musab Ekici",Kuru Otlar Üstüne,Turquie,Turc,Long-métrage,2023,-,48 158 entrées,"4,0","4,0",29 articles de presse,1 prix et 5 nominations,
Spider-Man : Across The Spider-Verse,31/05/2023,141,Joaquim Dos Santos, Sony Pictures Releasing France ,"Stéphane Bak,Shameik Moore,Shirine Boutella",Spider-Man: Across The Spider-Verse,U.S.A.,Anglais,Long-métrage,2023,-,1 850 738 entrées,"4,1","4,5",591 Critiques Spectateurs,,"Après avoir retrouvé Gwen Stacy, Spider-Man, le sympathique héros originaire de Brooklyn, est catapulté à travers le Multivers, où il rencontre une équipe de Spider-Héros chargée d'en protéger l'existence. Mais lorsque les héros s'opposent sur la façon de gérer une nouvelle menace, Miles se retrouve confronté à eux et doit redéfinir ce que signifie être un héros afin de sauver les personnes qu'il aime le plus."
Asteroid City,21/06/2023,106,Wes Anderson, Universal Pictures International France ,"Jason Schwartzman,Scarlett Johansson,Tom Hanks",,U.S.A.,Anglais,Long-métrage,2023,-,318 488 entrées,"3,3","3,0",38 articles de presse,5 nominations,
"Super Mario Bros, le film",05/04/2023,92,Aaron Horvath, Universal Pictures International France ,"Pierre Tessier,Chris Pratt,Jérémie Covillault",The Super Mario Bros. Movie,U.S.A.,Anglais,Long-métrage,2023,-,7 178 203 entrées,"3,1","4,1",1028 Critiques Spectateurs,,"Alors qu’ils tentent de réparer une canalisation souterraine, Mario et son frère Luigi, tous deux plombiers, se retrouvent plongés dans un nouvel univers féerique à travers un mystérieux conduit. Mais lorsque les deux frères sont séparés, Mario s’engage dans une aventure trépidante pour retrouver Luigi."
Rendez-vous à Tokyo,26/07/2023,115,Daigo Matsui, Art House ,"Sosuke Ikematsu,Sairi Itô,Yumi Kawai",Just Remembering,Japon,Japonais,Long-métrage,2021,-,8 378 entrées,"3,3","3,4",18 articles de presse,,"Les 26 juillet se suivent et ne se ressemblent pas… C’est le jour où ils se sont rencontrés, celui où ils se sont aimés, où ils se sont séparés. Sept rendez-vous entre un danseur professionnel et une conductrice de taxi dans le Tokyo d’aujourd’hui."
SISU - De l'Or et du Sang,21/06/2023,91,Jalmari Helander, SND ,"Jorma Tommila,Aksel Hennie,Jack Doolan",Sisu,Finlande,Anglais,Long-métrage,2022,-,74 711 entrées,"2,7","3,3",15 articles de presse,,"Finlande, 1944. Dans la nature sauvage et hostile de la Laponie, alors occupée par les nazis, un ancien soldat découvre un gisement d’or."
La Main,26/07/2023,94,Danny Philippou, SND ,"Sophie Wilde,Joe Bird,Alexandra Jensen",Talk To Me,Australie,Anglais,Long-métrage,2023,-,34 727 entrées,"3,1","3,1",20 articles de presse,,"Lorsqu'un groupe d'amis découvre comment conjurer les esprits à l'aide d'une mystérieuse main hantée, ils deviennent accros à ce nouveau frisson, et l’expérience fait le tour des réseaux sociaux. Une seule règle à respecter : ils ne doivent pas tenir la main plus de 90 secondes. Lorsque l’un d’entre eux l’enfreint, ils vont être rattrapés par les esprits, les obligeant à choisir : à qui se fier, aux morts ou aux vivants ?"
Passages,28/06/2023,92,Ira Sachs, SBS Distribution ,"Franz Rogowski,Ben Whishaw,Adèle Exarchopoulos",,France,"Anglais, Français",Long-métrage,2023,-,17 554 entrées,"2,8","2,7",23 articles de presse,,L'histoire de deux hommes qui sont ensemble depuis quinze ans et ce qui se passe quand l'un d'eux a une liaison avec une femme.
Dernière nuit à Milan,07/06/2023,125,Andrea Di Stefano, Universal Pictures International France ,"Pierfrancesco Favino,Linda Caridi,Antonio Gerardi",L’Ultima Notte Di Amore,Italie,Italien,Long-métrage,2023,-,101 365 entrées,"3,5","4,0",18 articles de presse,,"Franco Amore porte bien son nom. Il dit de lui-même que, durant toute sa vie, il a toujours essayé d’être un honnête homme, un policier qui, en 35 ans d’une honorable carrière, n’a jamais tiré sur personne. Ce sont en effet les mots qu’il écrit pour le discours qu’il tiendra au lendemain de sa dernière nuit de service. Mais cette dernière nuit sera plus longue et plus éprouvante qu’il ne l’imagine et mettra en danger tout ce qui compte à ses yeux : son travail au service de l’Etat, son amour pour sa femme Viviana, son amitié avec son collègue Dino, jusqu’à sa propre vie. Et c’est durant cette même nuit, dans les rues d’un Milan qui ne semble jamais voir le jour, que tout va s’enchaîner à un rythme effréné."
Une nuit,05/07/2023,90,Alex Lutz, StudioCanal ,"Alex Lutz,Karin Viard,Jérôme Pouly",,France,Français,Long-métrage,2023,-,105 187 entrées,"3,2","3,4",21 articles de presse,1 prix et 8 nominations,
Insidious: The Red Door,05/07/2023,108,Patrick Wilson, Sony Pictures Releasing France ,"Patrick Wilson,Rose Byrne,Ty Simpkins",,U.S.A.,Anglais,Long-métrage,2023,-,537 774 entrées,"2,1","2,2",8 articles de presse,,"Afin de se débarrasser définitivement de leurs démons, Josh et son fils Dalton, à présent étudiant, doivent plonger encore plus profondément dans le Lointain pour affronter le sombre passé de leur famille et une multitude d'esprits toujours plus inquiétants qui se cache derrière la Porte Rouge."
Le Manoir hanté,26/07/2023,122,Justin Simien, The Walt Disney Company France ,"Rosario Dawson,Lakeith Stanfield,Tiffany Haddish",Haunted Mansion,U.S.A.,Anglais,Long-métrage,2023,-,41 431 entrées,"2,8","3,1",16 articles de presse,,"Inspiré de l’attraction mythique des parcs Disneyland, LE MANOIR HANTÉ raconte l’histoire d’une mère et son fils qui engagent une équipe de pseudo-experts pour les aider à chasser les différents spectres et fantômes qui hantent leur maison."
Élémentaire,21/06/2023,102,Peter Sohn, The Walt Disney Company France ,"Adèle Exarchopoulos,Leah Lewis,Vincent Lacoste",Elemental,U.S.A.,Anglais,Long-métrage,2023,-,1 942 096 entrées,"3,5","3,9",317 Critiques Spectateurs,,"Dans la ville d’Element City, le feu, l’eau, la terre et l’air vivent dans la plus parfaite harmonie. C’est ici que résident Flam, une jeune femme intrépide et vive d’esprit, au caractère bien trempé, et Flack, un garçon sentimental et amusant, plutôt suiveur dans l’âme. L’amitié qu’ils se portent remet en question les croyances de Flam sur le monde dans lequel ils vivent..."
Miraculous - le film,05/07/2023,99,Jeremy Zag, SND ,"Anouck Hautbois,Benjamin Bollen,Antoine Tomé",,France,Français,Long-métrage,2023,-,1 115 946 entrées,"2,7","2,7",399 Critiques Spectateurs,,"La super-héroïne, qui a conquis le cœur de millions de fans à travers le monde, débarque pour la première fois au cinéma ! Ladybug va devoir unir ses forces avec Chat Noir, le charismatique justicier masqué qui n’a pas sa langue dans sa poche, pour affronter le Papillon et sa horde de super-vilains, alors que ceux-ci menacent de détruire Paris. Mais, alors que les deux héros se rapprochent, Marinette ignore que derrière son mystérieux complice se cache Adrien, le camarade de classe dont elle est amoureuse…"
Mission: Impossible – Dead Reckoning Partie 1,12/07/2023,163,Christopher McQuarrie, Paramount Pictures France ,"Tom Cruise,Hayley Atwell,Ving Rhames",Mission: Impossible – Dead Reckoning Part One,U.S.A.,Anglais,Long-métrage,2023,-,1 340 794 entrées,"4,0","4,2",34 articles de presse,,"Dans Mission: Impossible - Dead Reckoning Partie 1, Ethan Hunt et son équipe de l’IMF se lancent dans leur mission la plus périlleuse à ce jour : traquer une effroyable nouvelle arme avant que celle-ci ne tombe entre de mauvaises mains et menace l’humanité entière."
Les Algues vertes,12/07/2023,107,Pierre Jolivet, Haut et Court ,"Céline Sallette,Nina Meurisse,Julie Ferrier",,France,Français,Long-métrage,2023,"3,7 M€",181 962 entrées,"3,5","4,0",23 articles de presse,,"À la suite de morts suspectes, Inès Léraud, jeune journaliste, décide de s’installer en Bretagne pour enquêter sur le phénomène des algues vertes. À travers ses rencontres, elle découvre la fabrique du silence qui entoure ce désastre écologique et social. Face aux pressions, parviendra-t-elle à faire triompher la vérité ?"
Fifi,14/06/2023,108,Jeanne Aslan, New Story ,"Céleste Brunnquell,Quentin Dolmaire,Ilan Schermann",,France,Français,Long-métrage,2023,-,42 856 entrées,"3,6","3,9",21 articles de presse,,"Nancy, début de l’été... et Sophie, dite Fifi, 15 ans, est coincée dans son HLM dans une ambiance familiale chaotique. Quand elle croise par hasard son ancienne amie Jade, sur le point de partir en vacances, Fifi prend en douce les clefs de sa jolie maison du centre-ville désertée pour l’été. Alors qu’elle s’installe, elle tombe sur Stéphane, 23 ans, le frère aîné de Jade, rentré de manière inattendue. Au lieu de la chasser, Stéphane lui laisse porte ouverte et l’autorise à venir se réfugier là quand elle veut..."
Indiana Jones et le Cadran de la Destinée,28/06/2023,154,James Mangold, The Walt Disney Company France ,"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen",Indiana Jones and the Dial of Destiny,U.S.A.,Anglais,Long-métrage,2023,-,2 327 361 entrées,"3,5","3,6",39 articles de presse,,
Barbie,19/07/2023,115,Greta Gerwig, Warner Bros. France ,"Margot Robbie,Ryan Gosling,America Ferrera",,U.S.A.,Anglais,Long-métrage,2023,-,1 257 645 entrées,"3,5","3,3",28 articles de presse,,"A Barbie Land, vous êtes un être parfait dans un monde parfait. Sauf si vous êtes en crise existentielle, ou si vous êtes Ken."
Oppenheimer,19/07/2023,181,Christopher Nolan, Universal Pictures International France ,"Cillian Murphy,Emily Blunt,Matt Damon",,U.S.A.,Anglais,Long-métrage,2023,-,842 867 entrées,"3,8","4,4",30 articles de presse,,"En 1942, convaincus que l’Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le ""Projet Manhattan"" destiné à mettre au point la première bombe atomique de l’histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien, qui sera bientôt surnommé ""le père de la bombe atomique"". C’est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et son équipe mettent au point une arme révolutionnaire dont les conséquences, vertigineuses, continuent de peser sur le monde actuel…"
Vaincre ou mourir,25/01/2023,100,Vincent Mottez, Saje Distribution ,"Hugo Becker,Rod Paradot,Gilles Cohen",,France,Français,Long-métrage,2022,-,287 578 entrées,"1,3","3,8",10 articles de presse,,"1793. Voilà trois ans que Charette, ancien officier de la Marine Royale, s’est retiré́ chez lui en Vendée. Dans le pays, la colère des paysans gronde : ils font appel au jeune retraité pour prendre le commandement de la rébellion. En quelques mois, le marin désœuvré devient un chef charismatique et un fin stratège, entraînant à sa suite paysans, déserteurs, femmes, vieillards et enfants, dont il fait une armée redoutable car insaisissable. Le combat pour la liberté ne fait que commencer..."
Moka,17/08/2016,90,Frédéric Mermoud, Pyramide Distribution ,"Emmanuelle Devos,Nathalie Baye,David Clavel",,France,Français,Long-métrage,2015,-,203 055 entrées,"3,2","3,0",18 articles de presse,,"Depuis la mort tragique de Luc, son fils adolescent, Diane peine à remonter la pente. Après avoir quitté sans autorisation la clinique de Lausanne où elle était hospitalisée, elle reprend contact avec le détective privé qu'elle a chargé d'enquêter sur les circonstances de l'accident de la circulation qui a coûté la vie à son garçon. Ce dernier lui confie avoir identifié les propriétaires de quatre voitures répondant à la déposition d'un témoin du drame. Après un premier repérage infructueux, Diane s'intéresse de près à un couple qui met en vente son véhicule de couleur moka. Bientôt, elle pousse la porte de la boutique d'esthétique que tient la femme, Marlène..."
La Sirène,28/06/2023,101,Sepideh Farsi, Bac Films ,"Mina Kavani,Hadmidreza Djavdan",,France,Perse,Long-métrage,2022,-,5 847 entrées,"3,5","3,7",13 Critiques Spectateurs,,"1980, dans le sud de l’Iran. Les habitants d’Abadan résistent au siège des Irakiens. Il y a là Omid, 14 ans, qui a décidé de rester sur place chez son grand-père, en attendant le retour de son grand frère du front. Mais comment résister en temps de guerre sans prendre les armes ? Omid découvre alors un bateau abandonné dans le port d’Abadan. Aurait-il enfin trouvé le moyen de sauver ceux qu’il aime ?"
Je verrai toujours vos visages,29/03/2023,118,Jeanne Herry, StudioCanal ,"Adèle Exarchopoulos,Dali Benssalah,Leïla Bekhti",,France,Français,Long-métrage,2023,-,1 160 049 entrées,"4,1","4,4",35 articles de presse,,"Depuis 2014, en France, la Justice Restaurative propose à des personnes victimes et auteurs d’infraction de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles comme Judith, Fanny ou Michel."
Mission Impossible - Fallout,01/08/2018,148,Christopher McQuarrie, Paramount Pictures France ,"Tom Cruise,Henry Cavill,Ving Rhames",,U.S.A.,Anglais,Long-métrage,2018,-,3 009 662 entrées,"3,8","4,0",38 articles de presse,2 nominations,Les meilleures intentions finissent souvent par se retourner contre vous…
L'Île rouge,31/05/2023,117,Robin Campillo, Memento Distribution ,"Nadia Tereszkiewicz,Quim Gutiérrez,Charlie Vauselle",,France,Français,Long-métrage,2023,-,145 005 entrées,"3,5","2,7",26 articles de presse,,"Début des années 70, sur une base de l’armée française à Madagascar, les militaires et leurs familles vivent les dernières illusions du colonialisme."
Avatar : la voie de l'eau,14/12/2022,192,James Cameron, The Walt Disney Company France ,"Sam Worthington,Zoe Saldana,Sigourney Weaver",Avatar: The Way of Water,U.S.A.,Anglais,Long-métrage,2022,-,14 000 193 entrées,"4,1","4,2",42 articles de presse,2 prix et 6 nominations,"Se déroulant plus d’une décennie après les événements relatés dans le premier film, AVATAR : LA VOIE DE L’EAU raconte l'histoire des membres de la famille Sully (Jake, Neytiri et leurs enfants), les épreuves auxquelles ils sont confrontés, les chemins qu’ils doivent emprunter pour se protéger les uns les autres, les batailles qu’ils doivent mener pour rester en vie et les tragédies qu'ils endurent."
Les Petites victoires,01/03/2023,90,Mélanie Auffret, Zinc Film ,"Michel Blanc,Julia Piaton,Lionel Abelanski",,France,Français,Long-métrage,2023,-,908 292 entrées,"3,6","3,9",20 articles de presse,2 prix et 1 nomination,"Entre ses obligations de maire et son rôle d'institutrice au sein du petit village de Kerguen, les journées d’Alice sont déjà bien remplies. L’arrivée dans sa classe d’Emile, un sexagénaire au caractère explosif, enfin décidé à apprendre à lire et à écrire, va rendre son quotidien ingérable. Surtout qu’Alice, qui n'avait rien vu venir, va devoir aussi sauver son village et son école…"
Le Croque-mitaine,31/05/2023,99,Rob Savage, The Walt Disney Company France ,"Chris Messina,Sophie Thatcher,Vivien Lyra Blair",The Boogeyman,U.S.A.,Anglais,Long-métrage,2023,-,301 316 entrées,"3,2","2,7",15 articles de presse,,"Sadie Harper, une jeune lycéenne, et sa petite sœur Sawyer sont encore sous le choc de la mort récente de leur mère. Dévasté par sa propre douleur, leur père Will, thérapeute de profession, ne leur prodigue ni le soutien ni l’affection qu’elles tentent de lui réclamer. Lorsqu'un patient désespéré se présente à l'improviste à leur domicile pour demander de l'aide, celui-ci fait entrer avec lui une terrifiante entité s’attaquant aux familles et se nourrissant de leurs plus grandes souffrances."
La Tête dans les étoiles,06/07/2023,,Emmanuel Gillibert,-,"Hakim Jemili,Alice Pol,François-Xavier Demaison",,France,Français,Long-métrage,2023,-,,"1,5",,55 Critiques Spectateurs,,"Ali, trentenaire de banlieue, vit encore chez sa mère avec sa fille de 8 ans. Flemmard, sans ambition particulière, il vivote grâce à des petits jobs de livreur de fast-food. A la suite d’une livraison, il va, par un accident du destin, se retrouver propulsé dans l’espace, à bord de la station ISS. La conquête spatiale s’apprête à écrire un chapitre surprenant et inédit de son histoire…"
Luise,05/07/2023,99,Matthias Luthardt, Pyramide Distribution ,"Luise Aschenbrenner,Christa Théret,Leonard Kunz",,France,"Français, Allemand",Long-métrage,2023,-,1 745 entrées,"2,8","3,0",6 articles de presse,,"Octobre 1918. La Première Guerre mondiale s’étire. Luise, 25 ans, vit seule dans une ferme isolée en Alsace, territoire allemand depuis 50 ans. Hélène, jeune Française en fuite vers les Pays-Bas, y trouve refuge, poursuivie par un soldat allemand, Hermann, qu’elle aurait blessé pour une raison mystérieuse. Il la retrouve et s’impose dans la ferme bien que cela fasse de lui un déserteur. Luise accepte de les héberger tous les deux sans rien connaître de leur passé. Un dangereux jeu à trois se met en place..."
Gangsters par alliance,07/07/2023,95,Tyler Spindel,-,"Adam Devine,Nina Dobrev,Pierce Brosnan",The Out-Laws,U.S.A.,Anglais,Long-métrage,2023,-,,"1,8",,26 Critiques Spectateurs,,"Quand la banque que gère Owen se fait cambrioler quelques jours avant son mariage, toutes les preuves désignent des suspects incroyablement gênants : ses futurs beaux-parents !"
Astérix et Obélix : L'Empire du milieu,01/02/2023,112,Guillaume Canet, Pathé ,"Guillaume Canet,Gilles Lellouche,Marion Cotillard",,France,Français,Long-métrage,2023,64 M€,4 595 903 entrées,"2,4","1,8",39 articles de presse,,"Nous sommes en 50 avant J.C. L’Impératrice de Chine est emprisonnée suite à un coup d’état fomenté par Deng Tsin Quin, un prince félon."
Le Parfum vert,21/12/2022,101,Nicolas Pariser, Diaphana Distribution ,"Sandrine Kiberlain,Vincent Lacoste,Rüdiger Vogler",,France,Français,Long-métrage,2022,7 M€,206 770 entrées,"3,5","2,3",32 articles de presse,,"En pleine représentation, un comédien de la Comédie-Française est assassiné par empoisonnement. Martin, membre de la troupe témoin direct de cet assassinat, est bientôt soupçonné par la police et pourchassé par la mystérieuse organisation qui a commandité le meurtre. Aidé par une dessinatrice de bandes dessinées, Claire, il cherchera à élucider ce mystère au cours d'un voyage très mouvementé en Europe."
