titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,recompenses,description,film_id_allocine
Yannick,02/08/2023,Comédie,67,Quentin Dupieux,Diaphana Distribution,"Raphaël Quenard,Blanche Gardin,Pio Marmaï",France,Français,Long-métrage,2023,25,,"En pleine représentation de la pièce « Le Cocu », un très mauvais boulevard, Yannick se lève et interrompt le spectacle pour reprendre la soirée en main...",315119
Suro,02/08/2023,Drame,116,Mikel Gurrea,Tamasa Distribution,"Vicky Luengo,Pol López,Ilyass El Ouahdani",Espagne,Catalan,Long-métrage,2022,6,,"Elena et Ivan s’apprêtent à entrer dans une nouvelle phase de leur vie. Ils quittent la métropole de Barcelone pour s’installer dans la campagne de Catalogne, où ils reprennent une plantation de chêne-liège. Le commerce du liège devra non seulement leur permettre d’assurer leur existence, mais ils comptent également exploiter la plantation de manière équitable et durable. Malgré leurs idéaux, Elena et Ivan doivent faire face à la dure réalité et se retrouveront bientôt dans une crise qui mettra non seulement en danger leur projet commun, mais aussi leur relation.",306291
Magic !,02/08/2023,Animation_Famille_Fantastique,75,Caroline Origer,KMBO,"Shérine Seyad,Jella Haase,Marie Braun",Luxembourg,Allemand,Long-métrage,2022,1,,"Il existe un monde magique où vivent de drôles de fées qui, la nuit venue, s’invitent déposer des cadeaux chez les humains. L’une d’elles, Violetta, un peu tête en l’air, se retrouve coincée sur Terre. Heureusement, elle rencontre Maxie, 10 ans : celle-ci fera tout pour aider Violetta à retourner chez elle. Le compte à rebours est lancé avant que la porte magique entre les deux mondes ne disparaisse !",271576
Détective Conan: le sous-marin noir,02/08/2023,Action_Animation_Aventure,110,Yuzuru Tachikawa,Eurozoom,"Ioanna Gkizas,Minami Takayama,Laëtitia Lienart",Japon,Japonais,Long-métrage,2023,6,,"Cette nouvelle aventure du célèbre détective se déroule en mer, près de l'île de Hachijô, Tokyo.",315755
Les Blagues de Toto 2 - classe verte,02/08/2023,Comédie,85,Pascal Bourdiaux,SND,"Hugo Trophardy,Guillaume De Tonquédec,Anne Marivin",France,Français,Long-métrage,2023,4,,"Toto et ses camarades sont de retour, direction la campagne pour une classe verte ! Mais, si pour les autres élèves, celle-ci est l’occasion de découvrir la vie à la ferme, pour Toto, c’est surtout l’opportunité parfaite pour inventer de nouvelles blagues et vivre de folles aventures. D’autant que les fermiers qui les accueillent ont l’air un peu louches, et qu’on raconte qu’un fantôme rode dans le coin… Toto compte bien mener l’enquête, et il a plus d’un tour dans son sac !",306731
The Wastetown,02/08/2023,Thriller,98,Ahmad Bahrami,Bodega Films,"Baran Kosari,Ali Bagheri",Iran,Farsi,Long-métrage,2022,8,,"Coupable du meurtre de son mari, Bermani est emprisonnée pendant 10 ans. Libérée, elle part à la recherche de son jeune fils et se rend à la casse automobile où travaille son beau-frère...",308236
Le Péril jeune,11/01/1995,Comédie_Drame_Romance,101,Cédric Klapisch,Les Acacias,"Romain Duris,Vincent Elbaz,Nicolas Koretzky",France,Français,Long-métrage,1994,5,,"Quelques jeunes hommes se retrouvent plusieurs années après avoir quitté le lycée. Ils assistent pendant son accouchement la compagne de leur meilleur ami, mort une semaine auparavant d'une overdose. C'est pour eux l'occasion de confronter leurs souvenirs.",9204
Yamabuki,02/08/2023,Drame,97,Yamasaki Juichiro,Survivance,"Kang Yoon-soo,Kilala Inori,Yohta Kawase",Japon,"Japonais, Français, Vietnamien",Long-métrage,2022,12,,"Maniwa, petite ville dans les montagnes de l'ouest du Japon. Chang-su, un ancien jockey olympique de l'équipe de Corée du Sud, criblé de dettes suite à la faillite de l'entreprise paternelle, travaille dans une carrière. Il vit avec Minami et sa fille en bas âge, qui a fui son mari et sa famille il y a sept ans. Pendant ce temps, Yamabuki, une lycéenne qui a perdu sa mère et vit avec son père policier, se met spontanément à manifester de manière silencieuse à un carrefour, en pensant à des causes par-delà l'océan. À leur insu, les vies de Chang-su, de Yamabuki et des autres habitants de la ville commencent doucement à s'entrecroiser.",300021
Les Tournesols sauvages,02/08/2023,Drame,106,Jaime Rosales,Condor Distribution,"Anna Castillo,Oriol Pla,Quim Ávila",Espagne,Espagnol,Long-métrage,2022,11,,"À Barcelone, Julia, 22 ans, élevant seule ses deux enfants, rêve de liberté et d'émancipation. Comme un tournesol suivant sans relâche la lumière, elle part chercher le soleil sous d'autres horizons. Lorsque le hasard remet sur son chemin deux hommes qu'elle a connu par le passé, la voilà confrontée à des émotions contraires.",290504
Le Grand chemin,25/03/1987,Drame,104,Jean-Loup Hubert,Mission,"Richard Bohringer, Anémone,Antoine Hubert",France,Français,Long-métrage,1987,126,,"Été 1959. Abandonnée par le père de ses enfants, Claire, enceinte, confie son fils aîné Louis à un couple d'amis Marcelle et Pelo. Le petit Parisien doit apprendre à se familiariser avec l'ambiance de la campagne et l'atmosphère étrange qu'il règne dans le foyer du couple qu'un lourd secret sépare depuis des années. L'arrivée du petit garçon sera pour eux un nouveau départ.",592
Tropic,02/08/2023,Drame,110,Edouard Salier,Rezo Films,"Pablo Cobo,Louis Peres,Marta Nieto",France,Français,Long-métrage,2023,13,,"Lázaro et Tristán, jumeaux, font partie d’un programme militaire qui vise à former les meilleurs astronautes de demain. Leur mère a tout sacrifié pour les porter vers cet objectif. Mais leur rêve se brise et la cellule familiale explose lorsque Tristán est contaminé par un résidu toxique qui le transforme physiquement et mentalement…",285272
On dirait la planète Mars,02/08/2023,Comédie,104,Stéphane Lafleur,UFO Distribution,"Steve Laplante,Larissa Corriveau,Fabiola N. Aladin",Canada,"Français, Anglais",Long-métrage,2022,18,,"La première mission habitée sur Mars est en péril. Pas de panique : une branche canadienne de l’agence spatiale envoie dans une base en plein désert cinq anonymes sélectionnés pour leurs profils psychologiques quasi identiques à ceux des astronautes. Ils doivent vivre comme eux, penser comme eux, être comme eux, pour anticiper et résoudre les conflits. Mais ici ce n’est pas tout à fait la planète Mars. Et ce ne sont pas vraiment des astronautes.",306924
Veuillez nous excuser pour la gêne occasionnée,09/08/2023,Comédie,89,Olivier Van Hoofstadt,UGC Distribution / TF1 Studio," Artus,Elsa Zylberstein,Benjamin Tranié",France,Français,Long-métrage,2023,10,,"Sébastien, contrôleur de train consciencieux et professionnel, rêve d’être muté dans le sud de la France.",306157
Jailer,10/08/2023,Action_Comédie_Policier_Thriller,170,Nelson Dilipkumar,Friday Entertainment," Rajinikanth, Mohanlal,Jackie Shroff",Inde,Tamoul,Long-métrage,2023,None,,Muthuvel Pandian est un geôlier strict mais empathique qui apprend qu'un gang tente de faire évader son chef de la prison. Il se met alors en tête de les arrêter.,318073
En eaux très troubles,02/08/2023,Action_Thriller,116,Ben Wheatley,Warner Bros. France,"Jason Statham,Jing Wu,Cliff Curtis",U.S.A.,Anglais,Long-métrage,2023,45,,"Cet été, préparez-vous à une décharge d’adrénaline avec EN EAUX TRÈS TROUBLES ! Film d’action survolté, ce deuxième opus plus gigantesque encore que le blockbuster de 2018 plonge le spectateur dans des eaux toujours plus profondes, où grouillent de redoutables megalodons, et bien plus…",269170
Le Colibri,02/08/2023,Drame,126,Francesca Archibugi,Paname Distribution,"Pierfrancesco Favino,Kasia Smutniak,Bérénice Bejo",Italie,Italien,Long-métrage,2022,17,,,291920
Un Dollar Entre les Dents,02/08/1967,Western,96,Luigi Vanzi,Les Films du Camelia,"Tony Anthony,Frank Wolff,Jolanda Modio",Italie,Anglais,Long-métrage,1967,2,,"Un détachement de la cavalerie américaine convoie un coffret rempli d’or pour le gouvernement mexicain. Le bandit Aguila, prenant la place de l’officier chargé de la réception, le dérobe, avec l’aide d’un homme surgi de nulle part : l’Étranger. Quand vient le moment du partage, les deux ne s’entendent pas…",221457
Sartana Dans la Vallée des Vautours,11/01/1973,Western,95,Roberto Mauri,Les Films du Camelia,"William Berger,Wayde Preston,Aldo Berti",Italie,Italien,Long-métrage,1970,2,,"En apprenant que les frères Douglas ont volé un important butin a l'armée, Sartana les sort de prison contre la moitié du magot. Sur le chemin qui les mène à la cachette, les frères Douglas tentent à plusieurs reprises de se débarrasser de Sartana, mais l'homme est trop habile et malin pour eux...",255367
Jeux de nuit,14/09/1966,Drame,105,Mai Zetterling,Carlotta Films,"Ingrid Thulin,Keve Hjelm,Lena Brundin",Suède,"Suédois, Anglais",Long-métrage,1966,None,,"En compagnie de sa fiancée Mariana, Jan retourne dans le château où il a passé son enfance. Dans ces murs hantés par la présence de ses anciens occupants, les souvenirs ressurgissent, en particulier celui de sa mère Irene, belle femme fantasque et hédoniste que le jeune garçon vénérait…",1543
Amorosa,09/08/2023,Biopic_Drame,117,Mai Zetterling,Carlotta Films,"Stina Ekblad,Erland Josephson,Philip Zanden",Suède,Suédois,Long-métrage,1986,None,,"Alors que le carnaval de Venise bat son plein, un couple de Suédois se rend à l’hôpital psychiatrique. La femme est sujette à de violentes crises et réclame son « enfant », un manuscrit que son mari garde précieusement. Il s’agit de l’écrivaine Agnes von Krusenstjerna et de son époux David Spengel, avec lequel elle entretient depuis des années une relation tumultueuse. Dans son dernier livre, la jeune femme a voulu régler ses comptes avec sa famille et le milieu aristocratique dont elle est issue…",279502
Bholaa Shankar,11/08/2023,Action_Drame,150,Meher Ramesh,Friday Entertainment," Chiranjeevi,Tamannaah Bhatia,Vennela Kishore",Inde,Autre,Long-métrage,2023,None,,Bhola Shankar est un ancien gangster qui arrive à Kolkata avec sa sœur adoptive Radha pour son éducation et également pour une mission personnelle de traquer un réseau criminel responsable de la mort de la famille de Radha.,317869
Gadar 2,11/08/2023,Action_Drame,165,Anil Sharma,Night ed films,"Sunny Deol,Ameesha Patel,Gaurav Chopra",Inde,Hindi,Long-métrage,2023,None,,"Pendant le conflit indo-pakistanais de 1971, Tara Singh décide de retourner au Pakistan afin de ramener son fils, Charanjeet, avec lui.",312858
Les Amoureux,02/03/1966,Drame_Romance,118,Mai Zetterling,Carlotta Films,"Harriet Andersson,Gunnel Lindblom,Gio Petré",Suède,Suédois,Long-métrage,1964,None,,"1914, Stockholm. Trois femmes sur le point d’accoucher se rendent à l’hôpital. De conditions sociales diverses, Agda, Adele et Angela se remémorent leur enfance, leurs amours déçus et leurs illusions perdues…",59476
Les Filles,06/06/1969,Comédie dramatique,100,Mai Zetterling,Carlotta Films,"Bibi Andersson,Harriet Andersson,Gunnel Lindblom",Suède,Suédois,Long-métrage,1968,1,,"Trois comédiennes, Liz, Marianne et Gunilla, partent en tournée pour jouer Lysistrata d’Aristophane. Presque deux mille ans séparent l’écriture de cette pièce de sa représentation en Suède. Pourtant, les trois interprètes trouvent en leurs personnages des échos troublants à leur propre vie…",1545
Mamamoo : My Con The Movie,10/08/2023,Concert,124,Jae-kyung Lim,Pathé Live,,Corée,Coréen,Evénement spécial,2023,None,,,317043
24 heures à New-York,09/08/2023,Drame,82,Vuk Lungulov-Klotz,Dulac Distribution,"Lio Mehiel,Cole Doman,MiMi Ryder",U.S.A.,"Anglais, Espagnol",Long-métrage,2023,None,,"Feña est un jeune homme trans qui mène une existence trépidante à New York. Au cours d’une seule journée, son père chilien, son ex-petit ami et sa demi-sœur de 13 ans refont surface dans sa vie. Ayant perdu le contact avec eux depuis sa transition, Feña va devoir réinventer ces anciennes relations, tout en gérant les défis quotidiens liés à sa nouvelle identité.",311182
Les Avantages de voyager en train,09/08/2023,Comédie_Drame,103,Aritz Moreno,Damned Distribution,"Luis Tosar,Pilar Castro,Ernesto Alterio",Espagne,Espagnol,Long-métrage,2019,21,,"Helga, éditrice madrilène, vient de faire interner son mari en clinique psychiatrique. Dans le train du retour, elle fait la connaissance du Dr Angel Sanagustín qui lui fait part de ses expériences les plus fascinantes, sordides et obsédantes. Cette rencontre bouleverse Helga et la plonge dans une profonde introspection. Et ce sont bien là quelques-uns des avantages de voyager en train.",264855
Les Promesses,09/08/2023,Drame,114,Amanda Sthers,Madeleine films,"Pierfrancesco Favino,Kelly Reilly,Jean Reno",France,Anglais,Long-métrage,2021,None,,"La vie, en général, n’en finit pas de faire des promesses qu’elle prend plaisir, ensuite, à ne pas tenir. L’histoire d’amour inachevée entre Alexander et Laura …",291501
L'Eté en pente douce,29/04/1987,Drame,96,Gérard Krawczyk,Mission,"Jacques Villeret,Jean-Pierre Bacri,Pauline Lafont",France,Français,Long-métrage,1987,61,,,2551
Punch-drunk love,22/01/2003,Comédie_Romance,95,Paul Thomas Anderson,Ciné Sorbonne,"Adam Sandler,Emily Watson,Philip Seymour Hoffman",U.S.A.,Anglais,Long-métrage,2002,23,,"Barry, un entrepreneur étouffé depuis tout petit par ses sept sœurs, sent un souffle nouveau lorsque la collègue d'une d'entre elles, Lena, vient à sa rencontre. Mais, au même moment, une call-girl, qu’il avait appelée pour essayer d’échapper à sa solitude, le piège. Pour la première fois, il va prendre sa vie en main.",32282
Animalia,09/08/2023,Drame_Fantastique,90,Sofia Alaoui,Ad Vitam,"Oumaïma Barid,Mehdi Dehbi,Fouad Oughaou",France,Arabe,Long-métrage,2023,None,,"Itto, jeune marocaine d’origine modeste, s’est adaptée à l’opulence de la famille de son mari, chez qui elle vit. Alors qu’elle se réjouissait d’une journée de tranquillité sans sa belle-famille, des événements surnaturels plongent le pays dans l’état d’urgence. Des phénomènes de plus en plus inquiétants suggèrent qu’une présence mystérieuse approche. Seule, elle peine à trouver de l'aide…",311078
Gran Turismo,09/08/2023,Action_Drame,134,Neill Blomkamp,Sony Pictures Releasing France,"David Harbour,Orlando Bloom,Archie Madekwe",U.S.A.,Anglais,Long-métrage,2023,27,,"Gran Turismo retrace l'incroyable histoire vraie d'une équipe d'outsiders : un gamer issu de la classe ouvrière, un ex-pilote de course raté et un cadre idéaliste de l’industrie du sport automobile. Ensemble, ils risquent tout et s'attaquent au sport le plus élitiste au monde.",222943
Zone(s) de turbulence,09/08/2023,Comédie,97,Hafsteinn Gunnar Sigurðsson,Rezo Films,"Timothy Spall,Emun Elliott,Ella Rumpf",Islande,Anglais,Long-métrage,2023,10,,"Sarah est une femme d’affaire basée à Londres qui souffre d’une peur incontrôlable de l’avion. Pour sauver sa nouvelle relation amoureuse, elle doit surmonter sa phobie et apprendre à lâcher prise – quitte à endurer un vol inattendu et follement imprévisible vers l’Islande…",300966
La Voie Royale,09/08/2023,Drame,107,Frédéric Mermoud,Pyramide Distribution,"Suzanne Jouannet,Marie Colomb,Maud Wyler",France,Français,Long-métrage,2023,10,,"Sophie est une lycéenne brillante. Encouragée par son professeur de mathématiques, elle quitte la ferme familiale pour suivre une classe préparatoire scientifique. Au fil de rencontres, de succès et d’échecs, face à une compétition acharnée, Sophie réalise que son rêve, intégrer Polytechnique, représente plus qu’un concours... un vrai défi d’ascension sociale.",295616
Ninja Turtles Teenage Years,09/08/2023,Action_Animation_Aventure,99,Jeff Rowe,Paramount Pictures France,"Jean-Stan du Pac,Nicolas Cantu,Kylian Trouillard",U.S.A.,Anglais,Long-métrage,2023,None,,"Après des années passées loin du monde des humains, les frères Tortues entreprennent de gagner le cœur des New-Yorkais et d'être acceptés comme des adolescents normaux grâce à des actes héroïques. Leur nouvelle amie April O'Neil les aide à s'attaquer à un mystérieux syndicat du crime mais ils se retrouvent dépassés par les événements lorsqu'une armée de mutants se déploie contre eux.",284995
Un coup de maître,09/08/2023,Comédie,95,Rémi Bezançon,Zinc Film,"Vincent Macaigne,Bouli Lanners,Bastien Ughetto",France,Français,Long-métrage,2023,11,,"Propriétaire d’une galerie d’art, Arthur Forestier représente Renzo Nervi, un peintre en pleine crise existentielle. Les deux hommes sont amis depuis toujours et, même si tout les oppose, l’amour de l’art les réunit. En panne d’inspiration depuis plusieurs années, Renzo sombre peu à peu dans une radicalité qui le rend ingérable. Pour le sauver, Arthur élabore un plan audacieux qui finira par les dépasser… Jusqu’où peut-on aller par amitié ?",305181
Bro,02/08/2023,Comédie dramatique_Fantastique,132,Samuthirakani,Friday Entertainment,"Pawan Kalyan,Sai Dharam Tej,Brahmanandam Kanneganti",Inde,Autre,Long-métrage,2023,None,,"Markandeyulu ""Mark"" est un informaticien à Hyderabad, avec le désir d'avoir une petite amie. C'est un individu dominant qui fait passer ses propres intérêts avant les autres, y compris ceux de sa propre famille, comprenant sa mère Easwari, ses sœurs Veena et Gayathri.",318259
"Un homme, un cheval et un pistolet",01/12/1970,Western,95,Luigi Vanzi,Les Films du Camelia,"Tony Anthony,Daniele Vargas,Ettore Manni",Italie,Italien,Long-métrage,1967,2,,"Quelque part dans l'Ouest, un gang de desperados, menés par un tueur qui ne rate jamais sa cible, prépare un nouveau gros coup : l'attaque d'une diligence un peu particulière. Les bandits n'en ont pas après son contenu, mais après la diligence elle-même, qu'on dit faite en or. Cependant, un étranger solitaire est également sur le coup, et il n'a pas l'intention de les laisser s'en tirer avec le trésor. Hélas pour lui, ses ennemis le capturent et le laissent pour mort. Mais l'étranger a de la ressource, et il compte bien se venger. Second volet de la trilogie de l'Etranger, réalisée par Luigi Vanzi et interprétée par Tony Anthony, quelque part entre Franco Nero et son Django, et Clint Eastwood et son Homme sans nom.",283085
Ringo au pistolet d'or,19/07/1967,Western,87,Sergio Corbucci,Les Films du Camelia,"Mark Damon,Valeria Fabrizi,Giulia Rubini",Italie,Italien,Long-métrage,1967,1,,Un shérif emprisonne un chasseur de prime. Mais le chef d'une bande de hors-la-loi veut se venger de ce chasseur de prime. Le shérif décide alors d'affronter la bande de bandits.,212398
Furie au Missouri,31/03/1971,Western,105,Alfonso Brescia,Les Films du Camelia,"Peter Lee Lawrence,Luigi Vannucchi,Andrea Bosic",Italie,Italien,Long-métrage,1967,3,,"Pendant la guerre de Sécession, Johs voit le capitaine Clifford, de l’armée nordiste assassiner son frère. Pour le retrouver, il s’engage auprès de mercenaires sudistes. À la fin de la guerre, recherché pour meurtre, il retourne au ranch. Il y retrouve sa fiancée qui a entretemps épousé Clifford. Johs va préparer sa vengeance.",253726
Une longue file de croix,27/10/1971,Western,87,Sergio Garrone,Les Films du Camelia,"Anthony Steffen,William Berger,Mario Brega",Italie,"Italien, Anglais",Long-métrage,1969,5,,"Dans le sud du Texas, deux chasseurs de primes s’allient pour mettre fin au commerce de marchands d'esclaves. L'un d'eux, Django, tombe sous le charme d'une des victimes. Par amour pour elle, il décide de la venger de ses agresseurs.",210502
Francesca et l'amour,02/08/2023,Documentaire,,Alba Sotorra,Urban Distribution,,Espagne,Espagnol,Long-métrage,2021,None,,"À 60 ans, Francesca, se retrouve sans enfant chez elle et décide de trouver un compagnon. Mais où le trouver ? Encouragée par ses amis, elle s’inscrit sur un site de rencontre. Aventures sexuelles, situations uniques, sentiment de vide… À travers ce voyage intérieur, Francesca apprendra surtout à renouer avec elle-même.",287320
La Vengeance est un plat qui se mange froid,01/05/1973,Western,95,Pasquale Squitieri,Les Films du Camelia,"Leonard Mann,Ivan Rassimov,Klaus Kinski",Italie,Italien,Long-métrage,1971,1,,"Jim Bridger a grandi avec une haine irrépressible des Indiens qui ont massacré sa famille. Devenu adulte, il mène une guerre contre les peaux rouges mais tombe amoureux de Tune, une otage indienne. Il découvre que ce sont des Blancs déguisés en Indiens qui ont commis les crimes afin d'obtenir des terres à bon marché.",185775
"Trois salopards, une poignée d'or",02/09/1970,Western,107,Maurizio Lucidi,Les Films du Camelia,"George Hilton,Walter Barnes,Jack Betts",Italie,Italien,Long-métrage,1967,3,,"Une bande de hors-la-loi, après avoir braqué la banque de Middletown, se réfugie à Portand où ils terrorisent les habitants. Le jeune Billy, frère du shérif tué par les bandits, décide de se venger. Avec l'aide d'un mystérieux David, qui est pourtant affilié à la bande, il affronte les hors-la-loi. Or le chef de bande, Jarrett, meurt dans une explosion.",204652
Bravo Django,15/11/1967,Western,87,León Klimovsky,Les Films du Camelia,"Anthony Steffen,Gloria Osuna,Frank Wolff",Italie,Espagnol,Long-métrage,1967,6,,"Django, un ancien bandit devenu chasseur de primes, aspire à une vie paisible, loin des fusillades. Il jette son dévolu sur une région isolée où il espère pouvoir s'installer. Mais le mal semble le suivre comme son ombre. L'endroit, encore à l'écart de la civilisation, vit en effet sous la coupe d'une bande de braqueurs de banque, dirigée par le brutal Trevor Norton. Et voilà Django obligé de reprendre du service. Mais l'étoile de shérif n'impressionne pas les brigands. Django ne peut compter que sur une seule alliée, la belle Sally, qui n'est autre que la fille de Norton. Après Franco Nero, Anthony Steffen endosse avec brio l'habit du justicier solitaire le plus populaire du cinéma italien des années 60.",10010
